recipname,name
"Adams, Eric L",Eric Adams (D)
"Chang, Art",Art Chang (D)
"Donovan, Shaun",Shaun Donovan (D)
"Foldenauer, Aaron",Aaron Foldenauer (D)
"Garcia, Kathryn A",Kathryn Garcia (D)
"Mateo, Fernando A",Fernando Mateo (R)
"McGuire, Raymond J",Raymond J. McGuire (D)
"Morales, Dianne",Dianne Morales (D)
"Prince, Paperboy L",Paperboy Prince (D)
"Sliwa, Curtis",Curtis Sliwa (R)
"Stringer, Scott M",Scott M. Stringer (D)
"Taylor, Joycelyn",Joycelyn Taylor (D)
"Wiley, Maya D",Maya Wiley (D)
"Wright Jr., Isaac",Isaac Wright Jr. (D)
"Yang, Andrew",Andrew Yang (D)